miki_comfort_16-03,yuval_comfort_20-03-23,yuval_cool_20-03-23,yuval_cold_20-03-23,comfort_yuval_12_01_21C,miki_coldest_17.5c,miki_comfort_20c,cold_yuval_12_01_18C,miki_colder_1m,colder_yuval_12_01_16C
08_39_20_1,2023-03-20_18-21-25_1,2023-03-20_18-42-01_1,2023-03-20_18-55-17_1,12_01_2023-13_09_46_2,18_01_2023-11_55_34_7,18_01_2023-10_56_47_7,12_01_2023-13_26_28_2,18_01_2023-11_52_07_7,12_01_2023-13_31_41_2
08_39_20_2,2023-03-20_18-21-25_2,2023-03-20_18-42-01_2,2023-03-20_18-55-17_2,12_01_2023-13_09_46_3,18_01_2023-11_55_34_8,18_01_2023-10_56_47_8,12_01_2023-13_26_28_3,18_01_2023-11_52_07_8,12_01_2023-13_31_41_3
08_39_20_3,2023-03-20_18-21-25_3,2023-03-20_18-42-01_3,2023-03-20_18-55-17_3,12_01_2023-13_09_46_4,18_01_2023-11_55_34_9,18_01_2023-10_56_47_9,12_01_2023-13_26_28_4,18_01_2023-11_52_07_9,12_01_2023-13_31_41_4
08_39_20_4,2023-03-20_18-21-25_4,2023-03-20_18-42-01_4,2023-03-20_18-55-17_4,12_01_2023-13_09_46_5,18_01_2023-11_55_37_0,18_01_2023-10_56_50_0,12_01_2023-13_26_28_5,18_01_2023-11_52_10_0,12_01_2023-13_31_41_5
08_39_20_5,2023-03-20_18-21-25_5,2023-03-20_18-42-01_5,2023-03-20_18-55-17_5,12_01_2023-13_09_46_6,18_01_2023-11_55_37_1,18_01_2023-10_56_50_1,12_01_2023-13_26_28_6,18_01_2023-11_52_10_1,12_01_2023-13_31_41_6
08_39_20_6,2023-03-20_18-21-25_6,2023-03-20_18-42-01_6,2023-03-20_18-55-17_6,12_01_2023-13_09_46_7,18_01_2023-11_55_37_2,18_01_2023-10_56_50_2,12_01_2023-13_26_28_7,18_01_2023-11_52_10_2,12_01_2023-13_31_41_7
08_39_20_7,2023-03-20_18-21-25_7,2023-03-20_18-42-01_7,2023-03-20_18-55-17_7,12_01_2023-13_09_46_8,18_01_2023-11_55_37_3,18_01_2023-10_56_50_3,12_01_2023-13_26_28_8,18_01_2023-11_52_10_3,12_01_2023-13_31_41_8
08_39_20_8,2023-03-20_18-21-25_8,2023-03-20_18-42-01_8,2023-03-20_18-55-17_8,12_01_2023-13_09_46_9,18_01_2023-11_55_37_4,18_01_2023-10_56_50_4,12_01_2023-13_26_28_9,18_01_2023-11_52_10_4,12_01_2023-13_31_41_9
08_39_21_0,2023-03-20_18-21-26_0,2023-03-20_18-42-02_0,2023-03-20_18-55-18_0,12_01_2023-13_09_55_1,18_01_2023-11_55_37_5,18_01_2023-10_56_50_5,12_01_2023-13_26_37_1,18_01_2023-11_52_10_5,12_01_2023-13_31_50_1
08_39_21_1,2023-03-20_18-21-26_1,2023-03-20_18-42-02_1,2023-03-20_18-55-18_1,12_01_2023-13_09_55_2,18_01_2023-11_55_37_6,18_01_2023-10_56_50_6,12_01_2023-13_26_37_2,18_01_2023-11_52_10_6,12_01_2023-13_31_50_2
08_39_21_2,2023-03-20_18-21-26_2,2023-03-20_18-42-02_2,2023-03-20_18-55-18_2,12_01_2023-13_09_55_3,18_01_2023-11_55_37_7,18_01_2023-10_56_50_7,12_01_2023-13_26_37_3,18_01_2023-11_52_10_7,12_01_2023-13_31_50_3
08_39_21_3,2023-03-20_18-21-26_3,2023-03-20_18-42-02_3,2023-03-20_18-55-18_3,12_01_2023-13_09_55_4,18_01_2023-11_55_37_8,18_01_2023-10_56_50_8,12_01_2023-13_26_37_4,18_01_2023-11_52_10_8,12_01_2023-13_31_50_4
08_39_21_4,2023-03-20_18-21-26_4,2023-03-20_18-42-02_4,2023-03-20_18-55-18_4,12_01_2023-13_09_55_5,18_01_2023-11_55_37_9,18_01_2023-10_56_50_9,12_01_2023-13_26_37_5,18_01_2023-11_52_10_9,12_01_2023-13_31_50_5
08_39_21_5,2023-03-20_18-21-26_5,2023-03-20_18-42-02_5,2023-03-20_18-55-18_5,12_01_2023-13_09_55_6,18_01_2023-11_55_40_0,18_01_2023-10_56_53_0,12_01_2023-13_26_37_6,18_01_2023-11_52_13_0,12_01_2023-13_31_50_6
08_39_21_6,2023-03-20_18-21-26_6,2023-03-20_18-42-02_6,2023-03-20_18-55-18_6,12_01_2023-13_09_55_7,18_01_2023-11_55_40_1,18_01_2023-10_56_53_1,12_01_2023-13_26_37_7,18_01_2023-11_52_13_1,12_01_2023-13_31_50_7
08_39_21_7,2023-03-20_18-21-26_7,2023-03-20_18-42-02_7,2023-03-20_18-55-18_7,12_01_2023-13_09_55_8,18_01_2023-11_55_40_2,18_01_2023-10_56_53_2,12_01_2023-13_26_37_8,18_01_2023-11_52_13_2,12_01_2023-13_31_50_8
08_39_21_8,2023-03-20_18-21-26_8,2023-03-20_18-42-02_8,2023-03-20_18-55-18_8,12_01_2023-13_09_55_9,18_01_2023-11_55_40_3,18_01_2023-10_56_53_3,12_01_2023-13_26_37_9,18_01_2023-11_52_13_3,12_01_2023-13_31_50_9
08_39_22_0,2023-03-20_18-21-27_0,2023-03-20_18-42-04_0,2023-03-20_18-55-19_0,12_01_2023-13_10_04_1,18_01_2023-11_55_40_4,18_01_2023-10_56_53_4,12_01_2023-13_26_47_1,18_01_2023-11_52_13_4,
08_39_22_1,2023-03-20_18-21-27_1,2023-03-20_18-42-04_1,2023-03-20_18-55-19_1,12_01_2023-13_10_04_2,18_01_2023-11_55_40_5,18_01_2023-10_56_53_5,12_01_2023-13_26_47_2,18_01_2023-11_52_13_5,
08_39_22_2,2023-03-20_18-21-27_2,2023-03-20_18-42-04_2,2023-03-20_18-55-19_2,12_01_2023-13_10_04_3,18_01_2023-11_55_40_6,18_01_2023-10_56_53_6,12_01_2023-13_26_47_3,18_01_2023-11_52_13_6,
08_39_22_3,2023-03-20_18-21-27_3,2023-03-20_18-42-04_3,2023-03-20_18-55-19_3,12_01_2023-13_10_04_4,18_01_2023-11_55_40_7,18_01_2023-10_56_53_7,12_01_2023-13_26_47_4,18_01_2023-11_52_13_7,
08_39_22_4,2023-03-20_18-21-27_4,2023-03-20_18-42-04_4,2023-03-20_18-55-19_4,12_01_2023-13_10_04_5,18_01_2023-11_55_40_8,18_01_2023-10_56_53_8,12_01_2023-13_26_47_5,18_01_2023-11_52_13_8,
08_39_22_5,2023-03-20_18-21-27_5,2023-03-20_18-42-04_5,2023-03-20_18-55-19_5,12_01_2023-13_10_04_6,18_01_2023-11_55_40_9,18_01_2023-10_56_53_9,12_01_2023-13_26_47_6,18_01_2023-11_52_13_9,
08_39_22_6,2023-03-20_18-21-27_6,2023-03-20_18-42-04_6,2023-03-20_18-55-19_6,12_01_2023-13_10_04_7,18_01_2023-11_55_43_0,18_01_2023-10_56_56_0,12_01_2023-13_26_47_7,18_01_2023-11_52_16_0,
08_39_22_7,2023-03-20_18-21-27_7,2023-03-20_18-42-04_7,2023-03-20_18-55-19_7,12_01_2023-13_10_04_8,18_01_2023-11_55_43_1,18_01_2023-10_56_56_1,12_01_2023-13_26_47_8,18_01_2023-11_52_16_1,
08_39_22_8,2023-03-20_18-21-27_8,2023-03-20_18-42-04_8,2023-03-20_18-55-19_8,12_01_2023-13_10_04_9,18_01_2023-11_55_43_2,18_01_2023-10_56_56_2,12_01_2023-13_26_47_9,18_01_2023-11_52_16_2,
08_39_23_0,2023-03-20_18-21-28_0,2023-03-20_18-42-05_0,2023-03-20_18-55-21_0,12_01_2023-13_10_14_1,18_01_2023-11_55_43_3,18_01_2023-10_56_56_3,12_01_2023-13_26_56_1,18_01_2023-11_52_16_3,
08_39_23_1,2023-03-20_18-21-28_1,2023-03-20_18-42-05_1,2023-03-20_18-55-21_1,12_01_2023-13_10_14_2,18_01_2023-11_55_43_4,18_01_2023-10_56_56_4,12_01_2023-13_26_56_2,18_01_2023-11_52_16_4,
08_39_23_2,2023-03-20_18-21-28_2,2023-03-20_18-42-05_2,2023-03-20_18-55-21_2,12_01_2023-13_10_14_3,18_01_2023-11_55_43_5,18_01_2023-10_56_56_5,12_01_2023-13_26_56_3,18_01_2023-11_52_16_5,
08_39_23_3,2023-03-20_18-21-28_3,2023-03-20_18-42-05_3,2023-03-20_18-55-21_3,12_01_2023-13_10_14_4,18_01_2023-11_55_43_6,18_01_2023-10_56_56_6,12_01_2023-13_26_56_4,18_01_2023-11_52_16_6,
08_39_23_4,2023-03-20_18-21-28_4,2023-03-20_18-42-05_4,2023-03-20_18-55-21_4,12_01_2023-13_10_14_5,18_01_2023-11_55_43_7,18_01_2023-10_56_56_7,12_01_2023-13_26_56_5,18_01_2023-11_52_16_7,
08_39_23_5,2023-03-20_18-21-28_5,2023-03-20_18-42-05_5,2023-03-20_18-55-21_5,12_01_2023-13_10_14_6,18_01_2023-11_55_43_8,18_01_2023-10_56_56_8,12_01_2023-13_26_56_6,18_01_2023-11_52_16_8,
08_39_23_6,2023-03-20_18-21-28_6,2023-03-20_18-42-05_6,2023-03-20_18-55-21_6,12_01_2023-13_10_14_7,18_01_2023-11_55_43_9,18_01_2023-10_56_56_9,12_01_2023-13_26_56_7,18_01_2023-11_52_16_9,
08_39_23_7,2023-03-20_18-21-28_7,2023-03-20_18-42-05_7,2023-03-20_18-55-21_7,12_01_2023-13_10_14_8,18_01_2023-11_55_47_0,,12_01_2023-13_26_56_8,18_01_2023-11_52_19_0,
08_39_23_8,2023-03-20_18-21-28_8,2023-03-20_18-42-05_8,2023-03-20_18-55-21_8,12_01_2023-13_10_14_9,18_01_2023-11_55_47_1,,12_01_2023-13_26_56_9,18_01_2023-11_52_19_1,
08_39_24_0,2023-03-20_18-21-29_0,2023-03-20_18-42-06_0,2023-03-20_18-55-22_0,12_01_2023-13_10_23_1,18_01_2023-11_55_47_2,,12_01_2023-13_27_05_1,18_01_2023-11_52_19_2,
08_39_24_1,2023-03-20_18-21-29_1,2023-03-20_18-42-06_1,2023-03-20_18-55-22_1,12_01_2023-13_10_23_2,18_01_2023-11_55_47_3,,12_01_2023-13_27_05_2,18_01_2023-11_52_19_3,
08_39_24_2,2023-03-20_18-21-29_2,2023-03-20_18-42-06_2,2023-03-20_18-55-22_2,12_01_2023-13_10_23_3,18_01_2023-11_55_47_4,,12_01_2023-13_27_05_3,18_01_2023-11_52_19_4,
08_39_24_3,2023-03-20_18-21-29_3,2023-03-20_18-42-06_3,2023-03-20_18-55-22_3,12_01_2023-13_10_23_4,18_01_2023-11_55_47_5,,12_01_2023-13_27_05_4,18_01_2023-11_52_19_5,
08_39_24_4,2023-03-20_18-21-29_4,2023-03-20_18-42-06_4,2023-03-20_18-55-22_4,12_01_2023-13_10_23_5,18_01_2023-11_55_47_6,,12_01_2023-13_27_05_5,18_01_2023-11_52_19_6,
08_39_24_5,2023-03-20_18-21-29_5,2023-03-20_18-42-06_5,2023-03-20_18-55-22_5,12_01_2023-13_10_23_6,18_01_2023-11_55_47_7,,12_01_2023-13_27_05_6,18_01_2023-11_52_19_7,
08_39_24_6,2023-03-20_18-21-29_6,2023-03-20_18-42-06_6,2023-03-20_18-55-22_6,12_01_2023-13_10_23_7,18_01_2023-11_55_47_8,,12_01_2023-13_27_05_7,18_01_2023-11_52_19_8,
08_39_24_7,2023-03-20_18-21-29_7,2023-03-20_18-42-06_7,2023-03-20_18-55-22_7,12_01_2023-13_10_23_8,18_01_2023-11_55_47_9,,12_01_2023-13_27_05_8,18_01_2023-11_52_19_9,
08_39_24_8,2023-03-20_18-21-29_8,2023-03-20_18-42-06_8,2023-03-20_18-55-22_8,12_01_2023-13_10_23_9,18_01_2023-11_55_50_0,,12_01_2023-13_27_05_9,18_01_2023-11_52_23_0,
08_39_25_0,2023-03-20_18-21-30_0,2023-03-20_18-42-07_0,2023-03-20_18-55-23_0,12_01_2023-13_10_32_1,18_01_2023-11_55_50_1,,,18_01_2023-11_52_23_1,
08_39_25_1,2023-03-20_18-21-30_1,2023-03-20_18-42-07_1,2023-03-20_18-55-23_1,12_01_2023-13_10_32_2,18_01_2023-11_55_50_2,,,18_01_2023-11_52_23_2,
08_39_25_2,2023-03-20_18-21-30_2,2023-03-20_18-42-07_2,2023-03-20_18-55-23_2,12_01_2023-13_10_32_3,18_01_2023-11_55_50_3,,,18_01_2023-11_52_23_3,
08_39_25_3,2023-03-20_18-21-30_3,2023-03-20_18-42-07_3,2023-03-20_18-55-23_3,12_01_2023-13_10_32_4,18_01_2023-11_55_50_4,,,18_01_2023-11_52_23_4,
08_39_25_4,2023-03-20_18-21-30_4,2023-03-20_18-42-07_4,2023-03-20_18-55-23_4,12_01_2023-13_10_32_5,18_01_2023-11_55_50_5,,,18_01_2023-11_52_23_5,
08_39_25_5,2023-03-20_18-21-30_5,2023-03-20_18-42-07_5,2023-03-20_18-55-23_5,12_01_2023-13_10_32_6,18_01_2023-11_55_50_6,,,18_01_2023-11_52_23_6,
08_39_25_6,2023-03-20_18-21-30_6,2023-03-20_18-42-07_6,2023-03-20_18-55-23_6,12_01_2023-13_10_32_7,18_01_2023-11_55_50_7,,,18_01_2023-11_52_23_7,
08_39_25_7,2023-03-20_18-21-30_7,2023-03-20_18-42-07_7,2023-03-20_18-55-23_7,12_01_2023-13_10_32_8,18_01_2023-11_55_50_8,,,18_01_2023-11_52_23_8,
08_39_25_8,2023-03-20_18-21-30_8,2023-03-20_18-42-07_8,2023-03-20_18-55-23_8,12_01_2023-13_10_32_9,18_01_2023-11_55_50_9,,,18_01_2023-11_52_23_9,
08_39_26_0,2023-03-20_18-21-31_0,2023-03-20_18-42-08_0,2023-03-20_18-55-24_0,,18_01_2023-11_55_53_0,,,18_01_2023-11_52_26_0,
08_39_26_1,2023-03-20_18-21-31_1,2023-03-20_18-42-08_1,2023-03-20_18-55-24_1,,18_01_2023-11_55_53_1,,,18_01_2023-11_52_26_1,
08_39_26_2,2023-03-20_18-21-31_2,2023-03-20_18-42-08_2,2023-03-20_18-55-24_2,,18_01_2023-11_55_53_2,,,18_01_2023-11_52_26_2,
08_39_26_3,2023-03-20_18-21-31_3,2023-03-20_18-42-08_3,2023-03-20_18-55-24_3,,18_01_2023-11_55_53_3,,,18_01_2023-11_52_26_3,
08_39_26_4,2023-03-20_18-21-31_4,2023-03-20_18-42-08_4,2023-03-20_18-55-24_4,,18_01_2023-11_55_53_4,,,18_01_2023-11_52_26_4,
08_39_26_5,2023-03-20_18-21-31_5,2023-03-20_18-42-08_5,2023-03-20_18-55-24_5,,18_01_2023-11_55_53_5,,,18_01_2023-11_52_26_5,
08_39_26_6,2023-03-20_18-21-31_6,2023-03-20_18-42-08_6,2023-03-20_18-55-24_6,,18_01_2023-11_55_53_6,,,18_01_2023-11_52_26_6,
08_39_26_7,2023-03-20_18-21-31_7,2023-03-20_18-42-08_7,2023-03-20_18-55-24_7,,18_01_2023-11_55_53_7,,,18_01_2023-11_52_26_7,
08_39_26_8,2023-03-20_18-21-31_8,2023-03-20_18-42-08_8,2023-03-20_18-55-24_8,,18_01_2023-11_55_53_8,,,18_01_2023-11_52_26_8,
08_39_27_0,2023-03-20_18-21-32_0,2023-03-20_18-42-09_0,2023-03-20_18-55-25_0,,18_01_2023-11_55_53_9,,,18_01_2023-11_52_26_9,
08_39_27_1,2023-03-20_18-21-32_1,2023-03-20_18-42-09_1,2023-03-20_18-55-25_1,,18_01_2023-11_55_56_0,,,18_01_2023-11_52_29_0,
08_39_27_2,2023-03-20_18-21-32_2,2023-03-20_18-42-09_2,2023-03-20_18-55-25_2,,18_01_2023-11_55_56_1,,,18_01_2023-11_52_29_1,
08_39_27_3,2023-03-20_18-21-32_3,2023-03-20_18-42-09_3,2023-03-20_18-55-25_3,,18_01_2023-11_55_56_2,,,18_01_2023-11_52_29_2,
08_39_27_4,2023-03-20_18-21-32_4,2023-03-20_18-42-09_4,2023-03-20_18-55-25_4,,18_01_2023-11_55_56_3,,,18_01_2023-11_52_29_3,
08_39_27_5,2023-03-20_18-21-32_5,2023-03-20_18-42-09_5,2023-03-20_18-55-25_5,,18_01_2023-11_55_56_4,,,18_01_2023-11_52_29_4,
08_39_27_6,2023-03-20_18-21-32_6,2023-03-20_18-42-09_6,2023-03-20_18-55-25_6,,18_01_2023-11_55_56_5,,,18_01_2023-11_52_29_5,
08_39_27_7,2023-03-20_18-21-32_7,2023-03-20_18-42-09_7,2023-03-20_18-55-25_7,,18_01_2023-11_55_56_6,,,18_01_2023-11_52_29_6,
08_39_27_8,2023-03-20_18-21-32_8,2023-03-20_18-42-09_8,2023-03-20_18-55-25_8,,18_01_2023-11_55_56_7,,,18_01_2023-11_52_29_7,
08_39_28_0,2023-03-20_18-21-33_0,2023-03-20_18-42-10_0,2023-03-20_18-55-26_0,,18_01_2023-11_55_56_8,,,18_01_2023-11_52_29_8,
08_39_28_1,2023-03-20_18-21-33_1,2023-03-20_18-42-10_1,2023-03-20_18-55-26_1,,18_01_2023-11_55_56_9,,,18_01_2023-11_52_29_9,
